1 11 2
1 12 6
1 13 1
1 23 12
1 25 1
1 27 2
1 28 1
1 29 8
1 30 4
1 33 2
1 38 1
1 48 1
1 49 1
1 60 3
1 81 5
1 100 3
1 104 3
1 122 3
1 125 2
1 141 1
1 143 1
1 144 5
1 229 1
1 235 2
1 239 1
1 297 1
1 329 1
1 366 5
1 388 2
1 393 1
1 397 1
1 461 2
1 465 2
1 469 1
1 591 1
1 612 1
1 709 1
1 721 1
1 722 2
1 728 1
1 751 1
1 761 2
1 766 4
1 784 1
1 786 5
1 942 3
1 948 1
1 980 1
1 1029 1
1 1038 1
1 1073 1
1 1114 3
1 1279 1
1 1304 1
1 1322 1
1 1389 1
1 1404 1
1 1478 1
1 1806 1
1 1834 1
1 1837 1
1 1863 1
1 1894 1
1 1910 1
1 1993 1
1 2022 2
1 2160 5
1 2531 2
1 2569 1
1 2587 1
1 2662 1
1 2726 1
1 2734 1
1 2852 1
1 3042 2
1 3216 1
1 3401 1
1 3632 2
1 3698 2
1 4156 9
1 4271 1
1 4301 2
1 4310 1
1 4315 1
1 4360 2
1 4430 1
1 4524 1
1 4563 1
1 5102 2
1 5193 3
1 5266 1
1 5297 1
1 5373 2
1 5388 3
1 5420 1
1 5546 1
1 5558 1
1 6018 1
1 6143 1
1 6251 1
1 6327 2
1 6675 2
1 7200 1
1 7235 1
1 7260 1
1 7993 3
1 8137 1
1 8714 2
1 8794 1
1 9184 2
1 9188 1
1 9291 2
1 9322 1
1 9393 1
1 9919 2
1 9987 5
1 9988 5
1 9989 5
1 9990 2
1 9991 2
1 9992 1
1 9993 2
1 9994 3
1 9995 1
1 9996 1
1 9997 1
1 9998 1
1 9999 4
1 10000 2
1 10001 1
1 10002 1
1 10003 1
1 10004 1
1 10005 1
1 10006 1
1 10007 1
1 10008 1
1 10009 5
1 10010 2
1 10011 3
1 10012 1
1 10013 1
1 10014 1
1 10015 1
1 10016 1
1 10017 1
1 10018 1
1 10019 1
1 10020 1
1 10021 1
1 10022 1
1 10023 1
1 10024 1
1 10025 1
1 10026 1
1 10027 1
1 10028 1
1 10029 1
2 6 1
2 16 1
2 23 2
2 29 2
2 30 1
2 32 1
2 33 3
2 51 1
2 60 3
2 72 1
2 76 1
2 81 2
2 100 1
2 122 3
2 166 1
2 239 2
2 251 4
2 252 1
2 314 1
2 458 1
2 473 3
2 474 2
2 482 1
2 515 1
2 722 1
2 749 2
2 767 1
2 770 1
2 775 2
2 778 1
2 785 1
2 789 1
2 828 1
2 850 2
2 863 1
2 870 1
2 905 1
2 922 1
2 930 1
2 966 2
2 1124 1
2 1154 1
2 1181 1
2 1319 2
2 1365 2
2 1367 1
2 1480 1
2 1508 1
2 1522 1
2 1572 1
2 2291 1
2 2361 1
2 2551 1
2 3699 1
2 3720 2
2 3755 2
2 4341 1
2 4637 1
2 4685 1
2 4797 1
2 5153 1
2 5193 1
2 5242 1
2 5963 1
2 6791 2
2 7260 1
2 7848 1
